experiment_name,dataset_name,model_type,dataset_size,num_groups,avg_accuracy,avg_precision,avg_recall,avg_f1,total_fp,total_fn
svm_19000_augmented,19k_augmented_payroll_fix,svm,19000,3092,0.9868421052631579,0.9787775891341257,1.0,0.988794262662483,250,0
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,19000,3092,0.9818947368421052,0.9787775891341257,0.9908072160599518,0.9841390838999111,250,94
svm_18000,18k_combined,svm,18000,2932,0.9583333333333334,0.955102964671752,0.9759730898606438,0.9634314021793966,500,250
logistic_18000,18k_combined,logistic,18000,2932,0.9532222222222222,0.9542368229246424,0.9672153554484592,0.9589742362422238,500,342
